instance pathlad vf2 ri
si2_r001_m600.09 125.87 3600.01 4.64659
si2_m4Dr2_m256.09 0.0397039 0.00673195 0.0310665
si2_m4Dr2_m256.03 0.0639214 0.00605791 0.0807235
si2_m4Dr2_m256.04 0.0324313 0.00553169 0.0449459
si2_m4Dr2_m256.07 0.00935745 0.00688329 0.0269355
si2_m4Dr2_m256.00 0.024708 0.00681527 0.0294143
si2_m4Dr2_m256.06 0.0795326 0.00556536 0.0881309
si2_m4Dr2_m256.08 0.00614941 0.00555415 0.0264058
si2_m4Dr2_m256.05 0.00483746 0.00574542 0.0277759
si2_m4Dr2_m256.01 0.0514101 0.00606485 0.0273055
si2_m4Dr2_m256.02 0.0083639 0.00751703 0.0306658
si6_r001_m600.09 0.0501588 3600.01 0.0336383
si6_r001_m600.00 1.99413 3600.01 0.0458805
si6_r001_m600.07 2.38376 3600.01 0.0468836
si6_r001_m600.03 1.41094 3600.01 0.0415288
si6_r001_m600.01 1.18282 3600.01 0.0445714
si6_r001_m600.06 2.36898 3600.01 0.0327448
si6_r001_m600.08 3.4858 3600.01 0.0358012
si6_r001_m600.02 1.04743 3600.01 0.0439775
si6_r001_m600.04 1.32674 3600.01 0.034157
si6_r001_m600.05 0.937634 3600.01 0.0326328
si2_m4Dr2_m1296.05 0.0391838 0.0395163 0.0479572
si2_m4Dr2_m1296.09 0.901402 0.029505 0.0623146
si2_m4Dr2_m1296.02 1.7864 0.0294521 0.0702994
si2_m4Dr2_m1296.07 0.574881 0.0303164 0.0389382
si2_m4Dr2_m1296.00 0.0499894 0.0305184 0.0473071
si2_m4Dr2_m1296.06 2.34901 0.0364877 0.768766
si2_m4Dr2_m1296.08 1.16036 0.0296479 0.0447555
si2_m4Dr2_m1296.01 2.57252 0.0291537 0.17986
si2_m4Dr2_m1296.03 1.40157 0.0299673 0.039668
si2_m4Dr2_m1296.04 0.0528821 0.0300879 0.0498917
si4_b06m_m800.08 0.0306568 0.0164621 0.0333631
si4_b06m_m800.00 0.0271878 0.0160071 0.037377
si4_b06m_m800.06 0.0291723 0.0158053 0.0329498
si4_b06m_m800.05 0.026306 0.021793 0.0359476
si4_b06m_m800.04 0.035527 0.0164345 0.0362665
si4_b06m_m800.09 0.0399904 0.0167256 0.0361337
si4_b06m_m800.01 0.0263522 0.0218346 0.0370512
si4_b06m_m800.07 0.0388638 0.0162456 0.0361723
si4_b06m_m800.03 0.040583 0.0213678 0.040628
si4_b06m_m800.02 0.0274983 0.0156696 0.0317846
si6_m4Dr2_m625.08 0.0506211 0.0130477 0.0395931
si6_m4Dr2_m625.09 0.0238839 0.0138025 0.0300446
si6_m4Dr2_m625.05 0.225216 0.0133592 0.0359107
si6_m4Dr2_m625.01 0.0220524 0.0133258 0.0334229
si6_m4Dr2_m625.06 0.0229463 0.0145619 0.0335973
si6_m4Dr2_m625.00 0.0227922 0.0131731 0.0332963
si6_m4Dr2_m625.03 0.0246548 0.0133469 0.0315902
si6_m4Dr2_m625.02 0.455563 0.0141719 0.0343125
si6_m4Dr2_m625.07 0.0335589 0.0164488 0.0327298
si6_m4Dr2_m625.04 0.350987 0.0139681 0.0319773
si2_m4D_m1296.01 4.31925 0.0286405 0.0412111
si2_m4D_m1296.08 0.754151 0.0282762 0.0488049
si2_m4D_m1296.06 3.44232 0.0281244 0.0982012
si2_m4D_m1296.05 0.907626 0.036126 0.0536525
si2_m4D_m1296.09 1.07975 0.0288255 0.0593442
si2_m4D_m1296.03 2.91092 0.0349823 0.052497
si2_m4D_m1296.07 0.998464 0.0301089 0.046776
si2_m4D_m1296.02 1.50685 0.0345175 0.0509492
si2_m4D_m1296.04 1.20898 0.0377868 0.0490829
si2_m4D_m1296.00 0.551905 0.0295295 0.0483287
si4_b03_m800.05 1.87372 0.0115717 0.0338224
si4_b03_m800.00 1.83055 0.012535 0.0385404
si4_b03_m800.08 1.98505 0.0118134 0.0327965
si4_b03_m800.09 1.81809 0.0115745 0.0334271
si4_b03_m800.03 1.8478 0.0159744 0.0297425
si4_b03_m800.02 1.85223 0.0113956 0.0288932
si4_b03_m800.04 1.7946 0.0118489 0.0328167
si4_b03_m800.01 1.8276 0.0127303 0.0340715
si4_b03_m800.06 1.8241 0.0157047 0.0336425
si4_b03_m800.07 1.90235 0.015747 0.0343875
si6_m4D_m1296.02 2.93013 0.0470906 0.0469865
si6_m4D_m1296.07 9.28876 3600.01 0.0655038
si6_m4D_m1296.05 3.03686 0.0510828 0.0609234
si6_m4D_m1296.09 10.0847 3600.01 19.3538
si6_m4D_m1296.00 12.723 3600.01 0.625875
si6_m4D_m1296.08 2.97859 0.0453606 0.0392499
si6_m4D_m1296.04 3.03686 0.0354007 0.0564384
si6_m4D_m1296.06 10.2752 3600.01 0.0958518
si6_m4D_m1296.01 11.4037 3600.01 0.0815388
si6_m4D_m1296.03 18.7036 3600.01 0.153567
si6_r001_m200.05 0.0123176 3600.01 0.026311
si6_r001_m200.09 0.0413881 3600.01 0.0284195
si6_r001_m200.07 0.00554677 3600.01 0.0257284
si6_r001_m200.02 0.0230873 718.981 0.0269255
si6_r001_m200.01 0.00771807 3600.01 0.0263018
si6_r001_m200.00 0.00755106 3600.01 0.0288977
si6_r001_m200.04 0.0181778 3600.01 0.0274528
si6_r001_m200.06 0.00626058 3600.01 0.0263073
si6_r001_m200.08 0.00681343 3600.01 0.0261012
si6_r001_m200.03 0.0115599 3600.01 0.0264676
si4_b06_m400.06 0.280379 0.00834814 0.0360639
si4_b06_m400.07 0.273255 0.00983984 0.0345547
si4_b06_m400.09 0.264794 0.00809559 0.0310107
si4_b06_m400.01 0.257547 0.00959156 0.0277806
si4_b06_m400.04 0.2499 0.00847977 0.0346436
si4_b06_m400.03 0.255663 0.00808014 0.0299514
si4_b06_m400.00 0.230031 0.0103354 0.0342826
si4_b06_m400.05 0.259839 0.00817536 0.0281658
si4_b06_m400.08 0.227618 0.00753157 0.0276605
si4_b06_m400.02 0.239983 0.00805608 0.0325844
si2_m4Dr6_m256.06 0.0218089 0.00558777 0.028036
si2_m4Dr6_m256.05 0.00943477 0.0059911 0.0272186
si2_m4Dr6_m256.09 0.0602968 0.00601619 0.0274502
si2_m4Dr6_m256.00 0.0358202 0.00600435 0.0339765
si2_m4Dr6_m256.07 0.0182213 0.00771447 0.029657
si2_m4Dr6_m256.04 0.0046556 0.00581726 0.0282785
si2_m4Dr6_m256.02 0.0260257 0.00760114 0.028325
si2_m4Dr6_m256.01 0.0108229 0.00620097 0.0258948
si2_m4Dr6_m256.08 0.0311215 0.00659324 0.0316542
si2_m4Dr6_m256.03 0.00902664 0.00743976 0.0281866
si6_r01_m200.04 1.11747 3600.01 0.0648741
si6_r01_m200.08 0.855651 3600.01 0.132734
si6_r01_m200.02 3.27907 3600.01 3.09925
si6_r01_m200.09 5.86802 3600.01 0.554498
si6_r01_m200.07 7.67803 3600.01 0.197669
si6_r01_m200.00 10.6593 3600.01 0.292337
si6_r01_m200.01 0.659467 3600.01 1.02856
si6_r01_m200.03 6.1604 3600.01 0.495715
si6_r01_m200.05 6.23298 3600.01 0.814848
si6_r01_m200.06 1.08693 3600.01 0.407377
si2_b03m_m800.03 0.0197097 0.010961 0.0334982
si2_b03m_m800.02 0.0176983 0.0111153 0.0365854
si2_b03m_m800.09 0.0364888 0.0122945 3600.03
si2_b03m_m800.04 0.0193354 0.0110586 0.0328234
si2_b03m_m800.06 0.0174255 0.0115799 0.0306663
si2_b03m_m800.05 0.0220467 0.0107762 1.65715
si2_b03m_m800.01 0.0194992 0.0109915 0.036912
si2_b03m_m800.08 0.0339258 0.0109509 821.051
si2_b03m_m800.07 0.0216586 0.0109305 2.32951
si2_b03m_m800.00 0.0254796 0.0123813 0.359002
si2_r001_m200.06 0.0127354 3600.01 0.35018
si2_r001_m200.01 0.0147812 3600.01 0.0317098
si2_r001_m200.02 0.0171045 3600.01 0.0374539
si2_r001_m200.07 0.0115548 1102.07 0.0281579
si2_r001_m200.04 0.011258 3176.8 0.0267309
si2_r001_m200.05 0.0150902 3600.01 14.5253
si2_r001_m200.09 0.0114847 3600.01 0.0500496
si2_r001_m200.03 0.0258094 3600.01 0.0259066
si2_r001_m200.00 0.0172394 3600.01 0.026734
si2_r001_m200.08 0.0155674 3600.01 0.0360651
si6_b03m_m800.01 0.0390305 0.0142599 0.0637799
si6_b03m_m800.08 0.0399556 0.0146917 0.0440853
si6_b03m_m800.03 0.051227 0.0142874 0.0732049
si6_b03m_m800.00 0.0588641 0.0201129 0.0341609
si6_b03m_m800.04 0.0387039 0.0144548 0.0340863
si6_b03m_m800.05 0.0560301 0.0158539 0.136346
si6_b03m_m800.07 0.0387258 0.0198149 1.77058
si6_b03m_m800.06 0.0398842 0.0191978 0.0383071
si6_b03m_m800.09 0.036422 0.0143396 0.0633387
si6_b03m_m800.02 0.037862 0.0147235 0.033252
si4_r005_m200.00 4.89528 3600.01 0.402485
si4_r005_m200.08 4.06924 3600.01 0.442963
si4_r005_m200.02 0.213695 3600.01 0.10593
si4_r005_m200.05 0.405978 3600.01 0.0380594
si4_r005_m200.06 0.132668 3600.01 0.0318366
si4_r005_m200.04 2.9725 3600.01 0.195488
si4_r005_m200.07 1.59983 3600.01 0.182497
si4_r005_m200.09 5.7937 3600.01 0.112645
si4_r005_m200.01 3.32934 3600.01 0.0498115
si4_r005_m200.03 0.216545 3600.01 0.248859
si6_b09m_m400.03 0.0125074 0.00973143 0.0309053
si6_b09m_m400.07 0.0178738 0.00965431 0.0314508
si6_b09m_m400.00 0.0131383 0.0102155 0.0311987
si6_b09m_m400.04 0.0176437 0.0098105 0.0305999
si6_b09m_m400.06 0.0133461 0.0101055 0.0322346
si6_b09m_m400.08 0.0138781 0.0133743 0.0369741
si6_b09m_m400.02 0.0126598 0.00971866 0.0339692
si6_b09m_m400.05 0.0131306 0.00981207 0.0297637
si6_b09m_m400.09 0.0173665 0.0100568 0.0302594
si6_b09m_m400.01 0.0170381 0.0106235 0.0366547
si2_b09_m200.08 0.037876 0.0058574 0.028357
si2_b09_m200.01 0.0324167 0.00552451 0.0334476
si2_b09_m200.06 0.0331421 0.00669468 0.0278839
si2_b09_m200.05 0.0522517 0.00736999 0.0283621
si2_b09_m200.00 0.0474749 0.00575323 0.0328273
si2_b09_m200.02 0.0463546 0.00663769 0.0333717
si2_b09_m200.03 0.0382924 0.00581148 0.0281859
si2_b09_m200.04 0.0331046 0.00716291 0.0283085
si2_b09_m200.09 0.0552669 0.00528536 0.0268126
si2_b09_m200.07 0.0507371 0.0055276 0.0276435
si6_r01_m600.02 3538.43 3600.02 904.802
si6_r01_m600.06 NaN 3600.03 1181.74
si6_r01_m600.09 NaN 3600.02 297.236
si6_r01_m600.08 NaN 3600.02 819.964
si6_r01_m600.05 2063.78 3600.02 42.0953
si6_r01_m600.07 NaN 3600.02 38.5256
si6_r01_m600.03 NaN 3600.02 318.215
si6_r01_m600.00 NaN 3600.03 223.924
si6_r01_m600.01 NaN 3600.02 213.704
si6_r01_m600.04 2840.83 3600.02 326.248
si2_b06_m200.02 0.0345601 0.0060662 0.027165
si2_b06_m200.00 0.0317412 0.0050631 0.0271593
si2_b06_m200.01 0.0210406 0.00660182 0.0280988
si2_b06_m200.06 0.0215963 0.00712272 0.0327114
si2_b06_m200.09 0.0210668 0.00592583 0.0263128
si2_b06_m200.07 0.0210182 0.0057875 0.0277626
si2_b06_m200.04 0.0337239 0.00580075 0.0328695
si2_b06_m200.08 0.0213038 0.00611003 0.0276592
si2_b06_m200.03 0.0209549 0.00604483 0.0271489
si2_b06_m200.05 0.0207328 0.00512672 0.0259024
si6_m4Dr2_m1296.05 0.101818 0.0554528 0.0421746
si6_m4Dr2_m1296.09 0.0941805 0.0409802 0.0467805
si6_m4Dr2_m1296.01 0.139284 0.0465165 0.0482551
si6_m4Dr2_m1296.06 0.125238 0.0401979 0.0416819
si6_m4Dr2_m1296.07 0.357646 0.057472 0.0413516
si6_m4Dr2_m1296.03 0.127424 0.0407253 0.040415
si6_m4Dr2_m1296.04 0.0985831 0.0587229 0.053229
si6_m4Dr2_m1296.00 0.108369 0.0416641 0.0537385
si6_m4Dr2_m1296.08 0.176669 0.0400624 0.0491572
si6_m4Dr2_m1296.02 0.102152 0.0414989 0.0431459
si2_b09m_m800.09 0.0192241 0.0170553 0.0343681
si2_b09m_m800.07 0.0199176 0.0176973 0.0490582
si2_b09m_m800.00 0.0189699 0.0176527 0.041038
si2_b09m_m800.04 0.0181835 0.0165756 0.0337535
si2_b09m_m800.02 0.026027 0.0195215 0.0392734
si2_b09m_m800.05 0.0181784 0.0170521 0.034353
si2_b09m_m800.03 0.019398 0.0173584 0.0457098
si2_b09m_m800.08 0.0275859 0.0173449 0.0417787
si2_b09m_m800.06 0.0199583 0.0171859 0.0461229
si2_b09m_m800.01 0.0258116 0.0169892 0.0379546
si4_b03_m400.01 0.256263 0.00670568 0.0277995
si4_b03_m400.02 0.242406 0.00681718 0.0269908
si4_b03_m400.05 0.236747 0.00879172 0.0326739
si4_b03_m400.07 0.236429 0.00638163 0.0268166
si4_b03_m400.06 0.237966 0.0083924 0.0286675
si4_b03_m400.00 0.241173 0.00686985 0.0274531
si4_b03_m400.03 0.262101 0.0070339 0.0278959
si4_b03_m400.04 0.275636 0.00908171 0.0336068
si4_b03_m400.09 0.237123 0.00883927 0.0277221
si4_b03_m400.08 0.237256 0.00675545 0.0264516
si2_b03_m200.05 0.0188174 0.00549943 0.0264282
si2_b03_m200.09 0.0191354 0.00593594 0.0248476
si2_b03_m200.07 0.0186044 0.00605563 0.0272512
si2_b03_m200.01 0.0293287 0.00603056 0.027425
si2_b03_m200.08 0.0189956 0.00510596 0.0274578
si2_b03_m200.02 0.0187209 0.00479391 0.0263035
si2_b03_m200.04 0.0316236 0.00596781 0.0253766
si2_b03_m200.03 0.0283895 0.00571648 0.0271069
si2_b03_m200.06 0.0314967 0.00515625 0.0302037
si2_b03_m200.00 0.0183377 0.00590023 0.0307299
si4_r005_m600.00 935.76 3600.01 2.58882
si4_r005_m600.02 99.0464 3600.01 1.72406
si4_r005_m600.08 1837.54 3600.01 23.592
si4_r005_m600.05 2291.66 3600.01 10.0405
si4_r005_m600.07 1202.53 3600.01 1.83442
si4_r005_m600.06 1131.93 3600.01 0.648279
