instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
E.09 291 416 41659 38885 9547 148 135 124 308 423 166 153 128 29 17 4 28 17 6
E.17 55 146 37784 37217 10105 164 156 91 71 156 109 152 109 23 14 4 18 14 4
C.11 259 336 400 283 NaN 235 16592 NaN 222 262 134 NaN NaN 116 NaN NaN 121 38144 NaN
F.10 42 166 39055 40167 9595 202 147 132 41 164 144 161 141 20 17 3 20 20 4
A.17 9 11 30 40 35177 7 7017 37545 8 10 6 NaN NaN 4 NaN NaN 8 9866 215375
B.15 81 94 167 169 1908179 62 NaN NaN 76 95 49 NaN NaN 36 NaN NaN 43 1789511 NaN
E.03 117 277 37653 37197 10858 166 99 90 111 253 116 102 122 19 14 5 27 14 5
F.19 391 433 38678 37287 NaN 162 NaN NaN 253 524 169 NaN NaN 37 NaN NaN 33 NaN NaN
A.12 9 18 30 42 12387 11 130090 41149 8 15 6 NaN NaN 7 NaN NaN 4 147147 477035
B.08 143 92 180 187 1912581 87 148970 315 96 90 50 NaN NaN 39 NaN NaN 70 11868 NaN
F.17 364 535 40780 38745 109198 208 244 156 289 556 697 NaN NaN 691 NaN NaN 60 41287 35621
C.04 233 269 397 275 NaN 170 NaN NaN 222 283 137 NaN NaN 130 NaN NaN 200 1510571 NaN
B.19 78 95 176 185 NaN 54 NaN NaN 77 88 49 NaN NaN 37 NaN NaN 43 226292 NaN
C.16 351 262 406 269 1946276 159 144153 NaN 221 285 135 NaN NaN 111 NaN NaN 119 73231 NaN
C.17 226 350 398 335 NaN 173 2074723 NaN 284 330 134 NaN NaN 114 NaN NaN 121 351584 NaN
E.08 151 256 37982 38126 10896 148 105 94 153 253 112 108 109 21 15 4 29 17 5
F.13 337 514 123935 353300 10236 231942 199 228 351 612 1093853 NaN NaN 1136365 NaN NaN 233013 28 10
A.20 8 19 31 27 213 7 30 22 8 10 10 NaN NaN 4 NaN NaN 7 10 1114566
E.02 83 147 36092 35879 10326 115 107 97 57 149 167 109 97 18 15 4 24 17 5
E.16 82 203 39321 39652 10063 124 170 150 100 194 123 163 110 27 16 3 20 19 4
B.12 80 111 158 162 339733 57 176559 NaN 130 101 51 NaN NaN 37 NaN NaN 71 99192 NaN
F.09 308 461 37760 39302 NaN 194 NaN NaN 413 517 248 NaN NaN 109 NaN NaN 65 NaN NaN
A.10 16 18 30 28 1196 11 2550 89374 15 10 6 13031 365644 5 15188 NaN 7 131 57048
F.18 294 468 40140 39112 NaN 227 NaN NaN 291 488 260 NaN NaN 50 NaN NaN 42 NaN NaN
E.10 230 516 38002 38883 NaN 237 NaN NaN 293 386 177 NaN NaN 29 NaN NaN 29 NaN NaN
A.06 10 19 28 24 1618 7 4753 13097 8 11 7 NaN NaN 5 NaN NaN 8 50 149739
E.15 287 320 37317 38399 10610 172 129 116 214 347 140 181 122 23 19 4 26 15 4
E.07 39 126 35043 33906 11353 121 146 103 29 112 89 147 143 22 17 3 22 14 4
E.11 81 230 67207 67902 11025 86 119 70 129 159 84 82 69 18 15 3 23 15 4
B.03 124 167 163 121 169694 54 183145 NaN 81 108 48 NaN NaN 37 NaN NaN 42 341990 NaN
B.18 77 140 157 119 361588 90 587703 NaN 126 118 48 NaN NaN 39 NaN NaN 41 7623 NaN
C.03 282 282 447 306 NaN 150 972405 NaN 326 248 141 NaN NaN 129 NaN NaN 153 177361 NaN
A.18 9 19 33 26 3366 7 1889 11379 8 11 7 NaN NaN 4 NaN NaN 5 169 188507
F.15 228 383 559123 555873 NaN 152 NaN NaN 341 410 156 NaN NaN 28 NaN NaN 40 NaN NaN
A.19 9 12 29 39 979 12 561 7293 9 12 6 NaN NaN 4 NaN NaN 8 1316 NaN
C.12 221 311 386 385 431309 150 618210 3268603 215 247 136 NaN NaN 147 NaN NaN 148 16522 NaN
B.05 114 103 264 148 2280829 89 162065 709339 86 90 51 NaN NaN 38 NaN NaN 41 6317 NaN
A.13 16 19 50 41 138 11 2810 55836 9 10 10 NaN NaN 4 NaN NaN 7 1326 553774
A.05 15 19 31 26 15170 7 2491 1808 8 15 7 NaN NaN 4 NaN NaN 8 12302 74305
F.01 259 348 39787 40752 NaN 151 NaN NaN 379 357 160 NaN NaN 40 NaN NaN 40 NaN NaN
E.20 94 169 NaN NaN 10906 190 144 109 62 175 128 124 156 25 15 5 24 18 3
B.13 113 123 158 191 113771 54 2971090 1438987 124 131 61 NaN NaN 36 NaN NaN 64 NaN NaN
A.14 9 20 52 26 6589 9 245 4523 9 13 6 NaN NaN 4 NaN NaN 8 3079 1462780
B.04 114 142 160 152 152121 88 NaN NaN 82 126 48 NaN NaN 65 NaN NaN 66 454232 NaN
C.13 395 444 395 269 2710226 168 NaN NaN 236 367 234 NaN NaN 178 NaN NaN 154 2432321 NaN
F.07 309 502 39878 41592 NaN 250 NaN NaN 261 430 166 NaN NaN 32 NaN NaN 42 NaN NaN
E.13 96 209 40473 39503 10534 198 231 208 61 216 247 165 174 21 17 4 21 17 5
E.14 285 380 34430 34439 11139 118 169 154 291 385 149 107 97 25 18 6 37 18 6
A.11 15 11 48 40 4038 11 1401 5807 8 11 6 NaN NaN 4 NaN NaN 7 147 6112
si6_r005_m400.07 519 533 233485 233196 230356 236 2388 864 1312 1212 1484 198289 167190 1334 201400 167661 112 765 334
si6_r005_m400.00 489 596 240946 240317 291274 256 43167 498375 821 853 1093 NaN NaN 1195 NaN NaN 204 260936 669217
si6_r005_m400.01 518 546 385809 386870 387926 278 7249 6838 725 728 1066 150387 126256 997 149589 126963 261 4589 6475
si6_r005_m400.02 463 495 117328 116482 115534 106 8143 2924 623 825 523 106572 93344 553 109953 96195 90 5970 1116
si6_r005_m400.04 484 490 563891 562073 817131 80 221884 167532 601 491 101 1021637 823662 820 840983 679838 119 14450 13813
si6_r005_m400.05 415 469 341118 342464 338519 63 4176 824 828 923 1538 1318467 1062568 1478 1275113 1046642 34 1020 390
si6_r005_m400.09 439 488 80047 78903 73635 71 866 458 674 560 767 NaN NaN 572 NaN NaN 48 1753 1119
si6_r005_m400.03 430 508 467752 466269 481383 76 9590 7646 911 517 108 111469 90518 1473 2103977 1881155 57 275 1575
si6_r005_m400.06 474 522 461981 460165 1745367 99 907673 760272 634 519 118 2272643 1820613 687 NaN NaN 73 2661 969
si6_r005_m400.08 580 484 730289 726764 3419776 124 1301732 1650834 857 578 170 NaN NaN 831 NaN NaN 285 44976 105528
si6_m4Dr6_m625.04 51 110 187 145 2689 60 238 40 47 87 33 NaN NaN 24 NaN NaN 42 23 10744
si6_m4Dr6_m625.01 77 99 156 198 111 59 71 508 76 55 32 NaN NaN 22 NaN NaN 41 511 82528
si6_m4Dr6_m625.09 50 91 158 158 1101 37 279 1911 49 105 56 NaN NaN 29 NaN NaN 39 208 839790
