instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
g27-g58-normed 0 0 0 1 0 2 0 0 0 0 2 5 7 1 NaN NaN 1 0 0
g27-g59-normed 0 0 0 1 0 1 0 0 0 0 2 5 7 1 NaN NaN 2 0 0
g27-g60-normed 0 0 0 2 0 2 0 0 0 0 1 15 13 2 NaN NaN 2 0 0
g27-g66-normed 0 0 0 3 0 3 0 0 0 0 3 15 12 3 NaN NaN 4 0 0
g27-g73-normed 17 31 546 2740 0 23 0 0 12 33 21 NaN NaN 2190 NaN NaN 2208 0 0
g27-g82-normed 1 1 1 11 1478 19 47 30 1 1 14 31 22 10 23 24 12 27 47
g27-g86-normed 1 2 1 13 0 9 0 0 2 2 13 26 16 13 26 NaN 8 0 0
g27-g93-normed 33056 5108 282252 308088 292754 4484 4388 3478 32228 5092 4508 4512 3449 57506 53471 51374 59188 54340 52616
g28-g58-normed NaN NaN NaN 20 0 10 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 4 0 0
g28-g59-normed NaN NaN NaN 12 0 10 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 8 0 0
g28-g60-normed 8 19 94 64 0 13 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 5 0 0
g28-g66-normed 4337 4369 4530 4147 0 4255 0 0 4292 4572 4094 NaN NaN 4088 NaN NaN 4168 0 0
g28-g73-normed 18 38 85 82 0 30 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 23 0 0
g28-g82-normed 234 215 480 478 296 239 79 40 159 262 217 NaN NaN 210 NaN NaN 204 53 24
g28-g86-normed 2 1 2 39 0 34 0 0 2 1 20 NaN NaN 13 NaN NaN 9 0 0
g28-g93-normed 1607 4226 261420 260994 256233 3582 3505 2516 NaN NaN NaN NaN NaN NaN NaN NaN 1125 1041 107
g29-g58-normed 0 0 0 2 0 1 0 0 0 0 2 NaN NaN 1 NaN NaN 1 0 0
g29-g59-normed 0 0 0 2 0 1 0 0 0 0 1 NaN NaN 2 NaN NaN 2 0 0
g29-g60-normed 0 0 0 721 0 6 0 0 0 0 6 NaN NaN 3 NaN NaN 3 0 0
g29-g66-normed 0 0 1 3 0 5 0 0 0 0 3 10 8 3 NaN NaN 3 0 0
g29-g73-normed 1 0 0 1335 0 527 0 0 0 0 558 NaN NaN 592 NaN NaN 561 0 0
g29-g82-normed 1 1 1 16 1642 11 55 39 1 1 11 50 37 11 28 29 15 18 53
g29-g86-normed 2 2 1 14 0 14 0 0 2 2 14 26 26 9 18 NaN 9 0 0
g29-g93-normed 137578 5122 382089 382687 338217 4523 4413 3422 135843 4979 4448 4365 3517 138054 86431 72595 138850 87426 77362
g3-g58-normed 2 2 5 3 0 2 0 0 1005 941 626 215153 215854 630 216747 214648 1 0 0
g3-g59-normed 2 3 2 3 0 2 0 0 529 523 449 208056 209833 418 209789 207967 1 0 0
g3-g60-normed 4 5 15 11 0 3 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 2 0 0
g3-g66-normed 102 139 221 228 0 91 0 0 94 97 89 703 11801 153 679 11832 119 0 0
g3-g73-normed 6 8 36 29 0 5 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 5 0 0
g3-g82-normed 181 205 426 458 265 175 42 29 158 208 193 240 3090 191 224 2895 192 9 2
g3-g86-normed 31 50 55 34 0 26 0 0 18 30 39 23 92 13 10 40 14 0 0
g3-g93-normed 1478 4088 252187 260790 255292 3497 3385 2412 NaN NaN NaN NaN NaN NaN NaN NaN 989 933 30
g30-g58-normed 0 0 0 2 0 2 0 0 0 0 2 5 4 1 NaN NaN 1 0 0
g30-g59-normed 0 0 0 1 0 2 0 0 0 0 2 7 4 1 NaN NaN 2 0 0
g30-g60-normed 0 0 0 765 0 8 0 0 0 0 6 NaN NaN 3 NaN NaN 3 0 0
g30-g66-normed 1 1 0 5 0 3 0 0 0 0 5 16 13 4 NaN NaN 3 0 0
g30-g73-normed 1 0 0 822 0 12 0 0 0 0 12 NaN NaN 6 NaN NaN 6 0 0
g30-g82-normed 1 1 1 11 1633 18 33 39 1 1 16 32 37 16 12 1 11 13 1
g30-g86-normed 1 2 1 9 0 14 0 0 1 2 14 26 25 14 13 NaN 9 0 0
g30-g93-normed 1580 5063 245752 251163 249845 4452 4330 3399 1548 5059 4440 4441 3422 1032 957 24 1054 983 29
g31-g58-normed 0 0 0 1 0 2 0 0 0 0 2 NaN NaN 2 NaN NaN 2 0 0
g31-g59-normed 0 0 0 2 0 2 0 0 0 0 2 NaN NaN 2 NaN NaN 2 0 0
g31-g60-normed 0 0 0 878 0 10 0 0 0 0 10 NaN NaN 3 NaN NaN 3 0 0
g31-g66-normed 0 0 0 3 0 3 0 0 0 0 3 11 14 3 NaN NaN 5 0 0
g31-g73-normed 1 1 1 1061 0 14 0 0 0 1 14 NaN NaN 7 NaN NaN 6 0 0
g31-g82-normed 1 1 1 11 1608 19 53 40 1 1 11 53 23 11 26 33 11 30 36
g31-g86-normed 2 1 2 14 0 14 0 0 2 2 14 27 26 14 18 NaN 9 0 0
g31-g93-normed 132741 5198 368488 384280 325400 4590 4456 3441 130112 5041 4441 4372 3431 141550 87173 73455 143809 88670 74305
g32-g58-normed 0 0 0 0 0 0 0 0 0 1 8 319 346 8 3345 2682 0 0 0
g32-g59-normed 0 0 0 0 0 0 0 0 1 1 8 360 339 8 3319 2816 0 0 0
g32-g60-normed 0 0 0 0 0 0 0 0 1 0 8 384 368 7 2513199 1923973 0 0 0
g32-g66-normed 0 0 0 0 0 0 0 0 1 1 10 356 362 10 NaN NaN 0 0 0
g32-g73-normed 0 0 0 0 0 0 0 0 1 1 11 346 378 11 NaN NaN 0 0 0
g32-g82-normed 0 1 0 0 0 1 0 1 1 1 16 361 332 17 32 28 0 0 0
g32-g86-normed 0 0 0 0 0 0 0 0 2 2 19 336 392 15 24 122 0 0 0
g32-g93-normed 99 65 59 59 56 66 56 64 13236 5367 4749 4649 3798 67810 61300 60707 61 69 100
g33-g58-normed 0 0 0 33 0 10 0 0 0 0 12 NaN NaN 10 NaN NaN 10 0 0
g33-g59-normed 0 0 0 18 0 7 0 0 0 0 7 NaN NaN 5 NaN NaN 4 0 0
g33-g60-normed NaN NaN NaN 87 0 7 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 4 0 0
g33-g66-normed 0 0 0 3 0 3 0 0 0 0 3 8 10 4 NaN NaN 3 0 0
g33-g73-normed NaN NaN NaN 77 0 10 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 7 0 0
g33-g82-normed 1 1 1 18 1350 13 51 20 1 1 16 49 34 16 33 52 18 23 56
g33-g86-normed 1 2 1 12 0 9 0 0 1 2 13 35 23 9 18 NaN 13 0 0
g33-g93-normed NaN 5092 NaN NaN NaN 4497 4363 3384 NaN 5010 4522 4350 3496 NaN NaN NaN NaN NaN NaN
g34-g58-normed 0 0 0 317 0 334 0 0 0 0 NaN NaN NaN NaN NaN NaN 305 0 0
g34-g59-normed 0 0 0 7863 0 7697 0 0 0 0 NaN NaN NaN NaN NaN NaN 7913 0 0
g34-g60-normed NaN NaN NaN 16 0 7 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 7 0 0
g34-g66-normed 825 767 895 784 0 719 0 0 773 711 695 NaN NaN 678 NaN NaN 659 0 0
g34-g73-normed NaN NaN NaN 15 0 10 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 8 0 0
g34-g82-normed 312 296 542 530 269 283 46 85 351 344 238 NaN NaN 265 NaN NaN 270 21 33
g34-g86-normed 2 1 2 14 0 14 0 0 1 1 8 NaN NaN 13 NaN NaN 13 0 0
g34-g93-normed 1672 4184 250444 239430 245239 3477 3427 2431 NaN NaN NaN NaN NaN NaN NaN NaN 1042 954 69
g35-g58-normed 0 0 0 17049 0 17101 0 0 0 0 17261 NaN NaN 16755 NaN NaN 17051 0 0
g35-g59-normed 0 0 0 9856 0 9796 0 0 0 0 9853 NaN NaN 10049 NaN NaN 10505 0 0
g35-g60-normed NaN NaN NaN 55 0 8 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 5 0 0
g35-g66-normed 5 3 5 139 0 10 0 0 3 3 14 13 10 12 NaN NaN 13 0 0
g35-g73-normed NaN NaN NaN 47 0 11 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 13 0 0
g35-g82-normed 13 18 19 323 281 32 49 35 11 10 50 49 34 21 27 44 39 34 48
g35-g86-normed 1 2 2 15 0 15 0 0 1 2 8 36 24 13 23 NaN 14 0 0
g35-g93-normed 97752 5102 336114 337126 318585 4503 4480 3411 96364 4994 4469 4416 3516 104935 87814 87546 104295 87279 86060
g36-g58-normed 0 0 0 NaN 0 NaN 0 0 0 0 NaN NaN NaN NaN NaN NaN NaN 0 0
g36-g59-normed 0 0 0 NaN 0 NaN 0 0 0 0 NaN NaN NaN NaN NaN NaN NaN 0 0
g36-g60-normed NaN NaN NaN 59 0 11 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 5 0 0
g36-g66-normed 10 13 173 158 0 10 0 0 7 20 12 13 10 8 NaN NaN 8 0 0
g36-g73-normed NaN NaN NaN 70 0 16 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 13 0 0
g36-g82-normed 33 43 332 370 306 58 50 37 19 67 51 47 21 34 23 71 30 33 78
g36-g86-normed 1 2 2 14 0 9 0 0 1 1 9 36 15 13 32 NaN 13 0 0
g36-g93-normed NaN 5161 NaN NaN NaN 4488 4421 3425 NaN 5034 4385 4402 3502 NaN NaN NaN NaN NaN NaN
g37-g58-normed 0 0 0 117 0 6 0 0 0 0 6 NaN NaN 1 NaN NaN 1 0 0
g37-g59-normed 0 0 0 91 0 4 0 0 0 0 4 NaN NaN 1 NaN NaN 2 0 0
g37-g60-normed 0 0 0 NaN 0 NaN 0 0 0 0 NaN NaN NaN NaN NaN NaN NaN 0 0
g37-g66-normed 1 1 0 682 0 16 0 0 0 0 11 15 8 3 NaN NaN 4 0 0
g37-g73-normed 0 1 0 NaN 0 NaN 0 0 1 1 NaN NaN NaN NaN NaN NaN NaN 0 0
g37-g82-normed 1 1 1 1419 1364 61 32 22 1 1 53 32 22 12 25 54 14 43 69
g37-g86-normed 2 1 2 14 0 13 0 0 1 2 14 26 18 14 33 NaN 9 0 0
g37-g93-normed NaN 5230 NaN NaN NaN 4518 4501 3457 NaN 5034 4447 4529 3426 NaN NaN NaN NaN NaN NaN
g38-g58-normed 0 0 0 42 0 7 0 0 0 0 6 NaN NaN 3 NaN NaN 4 0 0
g38-g59-normed 0 0 0 58 0 3 0 0 0 0 4 NaN NaN 1 NaN NaN 2 0 0
g38-g60-normed 2427347 2427740 2420520 NaN 0 NaN 0 0 2469498 2416775 NaN NaN NaN NaN NaN NaN NaN 0 0
g38-g66-normed 0 0 0 653 0 10 0 0 0 0 7 NaN NaN 5 NaN NaN 5 0 0
g38-g73-normed NaN NaN NaN NaN 0 NaN 0 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0
g38-g82-normed 1 1 1 1369 1291 46 83 73 1 0 43 NaN NaN 11 NaN NaN 12 65 104
g38-g86-normed 2 1 1 105 0 33 0 0 2 2 33 NaN NaN 14 NaN NaN 9 0 0
g38-g93-normed 1736 4230 252754 248147 260206 3663 3560 2576 NaN NaN NaN NaN NaN NaN NaN NaN 1173 1109 193
g39-g58-normed 0 0 0 42 0 18 0 0 0 0 NaN NaN NaN NaN NaN NaN 26 0 0
g39-g59-normed 0 0 0 26 0 12 0 0 0 0 NaN NaN NaN NaN NaN NaN 10 0 0
g39-g60-normed NaN NaN NaN 36 0 8 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 7 0 0
g39-g66-normed 39 45 158 220 0 21 0 0 20 25 19 NaN NaN 7 NaN NaN 13 0 0
g39-g73-normed NaN NaN NaN 46 0 17 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 13 0 0
g39-g82-normed 29 28 18 293 315 40 45 22 27 17 60 194 119 34 233 184 39 19 9
g39-g86-normed 2 1 2 9 0 9 0 0 2 2 9 24 23 14 32 NaN 14 0 0
g39-g93-normed 1583 4119 269238 250934 248979 3551 3403 2533 NaN NaN NaN NaN NaN NaN NaN NaN 1092 1008 41
g4-g58-normed 0 0 0 0 0 0 0 0 0 1 1 3 2 1 248 236 0 0 0
g4-g59-normed 0 0 0 0 0 0 0 0 1 1 1 4 3 1 247 241 0 0 0
g4-g60-normed 0 0 0 0 0 0 0 0 33925 36569 16272 13549 12660 18396 16325 14078 0 0 0
g4-g66-normed 0 0 0 0 0 0 0 0 2 3 12 7 5 3 207 288 0 0 0
g4-g73-normed 0 0 0 0 0 0 0 0 861923 870168 376025 345809 344357 373833 349922 348182 0 0 0
g4-g82-normed 1 0 0 0 0 1 0 0 10 14 49 30 33 19 14 12 1 0 1
g4-g86-normed 0 0 0 0 0 0 0 0 1 1 8 33 21 13 12 9 0 0 0
g4-g93-normed 75 75 68 66 69 75 114 74 8217 5042 4421 4325 3435 7279 5557 4317 115 123 80
g40-g58-normed 1 1 1 6 0 6 0 0 1 1 6 136 85 5 NaN NaN 4 0 0
g40-g59-normed 1 1 1 4 0 4 0 0 1 1 5 88 111 5 NaN NaN 6 0 0
g40-g60-normed 1 1 1 5 0 5 0 0 1 1 6 126 135 6 NaN NaN 6 0 0
g40-g66-normed 1 1 1 8 0 8 0 0 1 1 6 143 113 6 NaN NaN 8 0 0
g40-g73-normed 1 1 1 9 0 9 0 0 1 1 9 99 100 7 NaN NaN 9 0 0
g40-g82-normed 1 2 2 16 2007 15 149 148 1 2 19 118 165 19 31 41 22 34 60
g40-g86-normed 2 2 3 12 0 18 0 0 3 2 16 158 98 16 24 4264 17 0 0
g40-g93-normed 15512 5151 269495 325873 311853 4567 4507 3520 15266 5122 4571 4474 3575 83387 75769 74525 84176 77367 75773
g41-g58-normed 0 0 0 NaN 0 NaN 0 0 0 0 NaN NaN NaN NaN NaN NaN NaN 0 0
g41-g59-normed 0 0 0 1909415 0 1912898 0 0 0 0 1808557 NaN NaN 1809390 NaN NaN 1919389 0 0
g41-g60-normed NaN NaN NaN 71 0 13 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 8 0 0
g41-g66-normed 8 12 177 195 0 15 0 0 12 18 15 8 10 8 NaN NaN 9 0 0
g41-g73-normed NaN NaN NaN 79 0 12 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 13 0 0
g41-g82-normed 18 12 16 343 320 52 52 22 16 16 45 48 21 23 35 103 41 39 111
g41-g86-normed 2 2 2 9 0 9 0 0 2 2 9 25 24 13 31 NaN 9 0 0
g41-g93-normed NaN 5097 NaN NaN NaN 4540 4384 3377 NaN 5008 4444 4414 3484 NaN NaN NaN NaN NaN NaN
g42-g58-normed 0 0 0 49 0 3 0 0 0 0 6 NaN NaN 4 NaN NaN 3 0 0
g42-g59-normed 0 0 0 47 0 6 0 0 0 0 4 NaN NaN 4 NaN NaN 3 0 0
g42-g60-normed 10 25 110 134 0 84 0 0 16 14 NaN NaN NaN NaN NaN NaN 10 0 0
g42-g66-normed 5 3 5 659 0 11 0 0 5 3 11 15 12 9 NaN NaN 10 0 0
g42-g73-normed NaN NaN NaN 241 0 42 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 17 0 0
g42-g82-normed 19 11 17 1322 1278 34 31 37 16 10 54 31 22 41 19 71 29 21 50
g42-g86-normed 2 2 2 10 0 15 0 0 2 2 14 37 16 14 35 NaN 10 0 0
g42-g93-normed 86189 5117 323872 342059 330313 4528 4407 3423 85450 5029 4438 4389 3478 92416 83588 82857 93320 84119 84168
g43-g58-normed 0 0 0 3 0 3 0 0 0 0 2 9 13 2 NaN NaN 3 0 0
g43-g59-normed 0 0 0 3 0 3 0 0 0 0 2 10 13 2 NaN NaN 3 0 0
g43-g60-normed 0 0 0 227 0 12 0 0 0 0 18 14 12 3 NaN NaN 4 0 0
g43-g66-normed 1 0 1 3 0 5 0 0 1 1 5 14 18 5 NaN NaN 3 0 0
g43-g73-normed 24 18 224 249 0 15 0 0 22 26 23 20 27 9 NaN NaN 11 0 0
g43-g82-normed 1 1 1 11 1403 12 58 40 1 1 11 36 43 11 28 58 18 32 46
g43-g86-normed 2 2 2 9 0 9 0 0 2 1 14 29 20 14 52 NaN 9 0 0
g43-g93-normed 60370 5097 318329 331832 333322 4546 4443 3439 60313 5079 4779 4373 3503 82865 79238 78515 83769 79947 79703
g44-g58-normed 0 0 0 671 0 10 0 0 0 0 10 NaN NaN 3 NaN NaN 3 0 0
g44-g59-normed 0 0 0 751 0 10 0 0 0 0 10 NaN NaN 3 NaN NaN 3 0 0
g44-g60-normed 0 0 0 1132 0 358 0 0 0 0 453 NaN NaN 392 NaN NaN 323 0 0
g44-g66-normed 0 1 0 1338 0 15 0 0 0 1 18 17 8 4 NaN NaN 5 0 0
g44-g73-normed 0 0 1 2663 0 1941 0 0 0 1 1883 NaN NaN 1912 NaN NaN 1974 0 0
g44-g82-normed 1 1 1 1952 1626 34 56 40 1 1 54 33 39 17 21 52 20 36 55
g44-g86-normed 2 2 2 702 0 29 0 0 2 2 43 41 18 15 2176287 NaN 15 0 0
g44-g93-normed 116257 5128 356248 357791 334527 4513 4396 3453 118126 5021 4428 4479 3490 116148 94216 86350 117303 95122 86774
g45-g58-normed 0 0 1 741 0 6 0 0 0 0 10 9 5 2 NaN NaN 3 0 0
g45-g59-normed 0 0 0 672 0 10 0 0 0 0 9 9 8 3 NaN NaN 2 0 0
g45-g60-normed 0 0 0 742 0 13 0 0 0 0 13 NaN NaN 3 NaN NaN 4 0 0
g45-g66-normed 0 1 0 1250 0 18 0 0 1 1 12 11 14 4 NaN NaN 4 0 0
g45-g73-normed 1 1 1 849 0 13 0 0 0 1 20 NaN NaN 8 NaN NaN 5 0 0
g45-g82-normed 1 1 1 1938 1644 53 55 24 1 1 55 33 23 11 14 2 18 15 1
g45-g86-normed 2 2 2 677 0 28 0 0 2 1 27 41 26 15 2174483 NaN 10 0 0
g45-g93-normed 1689 5127 259192 250084 246523 4559 4349 3408 1646 5056 4444 4546 3456 995 960 16 1048 1002 36
g46-g58-normed 0 0 0 3 0 3 0 0 0 0 3 NaN NaN 2 NaN NaN 3 0 0
g46-g59-normed 0 0 0 2 0 3 0 0 0 0 3 NaN NaN 3 NaN NaN 2 0 0
g46-g60-normed 0 0 0 NaN 0 NaN 0 0 0 0 NaN NaN NaN NaN NaN NaN NaN 0 0
g46-g66-normed 1 0 1 5 0 4 0 0 1 0 4 15 8 5 NaN NaN 5 0 0
g46-g73-normed 1 1 1 NaN 0 NaN 0 0 1 1 NaN NaN NaN NaN NaN NaN NaN 0 0
g46-g82-normed 1 1 1 12 1978 18 53 38 1 1 16 33 22 11 30 78 17 30 59
g46-g86-normed 2 2 2 10 0 10 0 0 2 2 14 38 25 14 34 NaN 15 0 0
g46-g93-normed NaN 5181 NaN NaN NaN 4554 4476 3450 NaN 4983 4423 4331 3430 NaN NaN NaN NaN NaN NaN
g47-g58-normed 0 0 0 3 0 3 0 0 0 0 3 7 6 3 NaN NaN 3 0 0
g47-g59-normed 0 0 0 3 0 3 0 0 0 0 3 5 4 3 NaN NaN 3 0 0
g47-g60-normed 0 0 0 781 0 7 0 0 0 0 6 NaN NaN 4 NaN NaN 3 0 0
g47-g66-normed 0 1 0 5 0 5 0 0 0 1 3 15 12 5 NaN NaN 5 0 0
g47-g73-normed 0 1 1 802 0 14 0 0 1 1 14 NaN NaN 8 NaN NaN 8 0 0
g47-g82-normed 1 1 1 11 1932 17 32 37 1 1 11 32 38 11 14 2 17 14 2
g47-g86-normed 2 1 2 10 0 16 0 0 1 2 14 26 17 9 14 NaN 15 0 0
g47-g93-normed 1721 5053 251245 250149 259612 4558 4367 3404 1696 4999 4439 4514 3380 1061 921 22 1023 945 34
g48-g58-normed 0 0 0 3 0 3 0 0 0 0 2 NaN NaN 3 NaN NaN 3 0 0
g48-g59-normed 0 0 0 3 0 3 0 0 0 0 3 NaN NaN 2 NaN NaN 3 0 0
g48-g60-normed 1 1 1 1049542 0 1050547 0 0 0 0 1030511 NaN NaN 1045567 NaN NaN 1036551 0 0
g48-g66-normed 1 1 0 4 0 5 0 0 1 1 5 13 8 5 NaN NaN 5 0 0
g48-g73-normed 0 1 1 2174542 0 2163278 0 0 1 0 2119995 NaN NaN 2119309 NaN NaN 2159473 0 0
g48-g82-normed 1 1 1 17 1924 11 51 22 1 1 11 45 22 17 44 71 11 49 53
g48-g86-normed 2 1 2 10 0 15 0 0 2 2 14 38 27 14 34 NaN 14 0 0
g48-g93-normed NaN 5213 NaN NaN NaN 4489 4368 3471 NaN 5017 4392 4395 3510 NaN NaN NaN NaN NaN NaN
g49-g58-normed 0 0 0 3 0 3 0 0 0 0 3 10 9 3 NaN NaN 2 0 0
g49-g59-normed 0 0 0 3 0 3 0 0 0 0 3 10 14 2 NaN NaN 3 0 0
g49-g60-normed 0 1 1 969 0 12 0 0 0 0 12 23 21 2454 NaN NaN 2415 0 0
g49-g66-normed 1 1 1 5 0 5 0 0 1 0 5 15 12 5 NaN NaN 3 0 0
g49-g73-normed 1 0 1 23556 0 21 0 0 1 0 30 NaN NaN 16093 NaN NaN 16379 0 0
g49-g82-normed 1 1 1 11 1416 14 36 28 1 1 16 46 27 16 28 58 18 32 65
g49-g86-normed 2 2 2 15 0 10 0 0 2 2 14 45 31 10 34 NaN 15 0 0
g49-g93-normed 75958 5070 318251 316232 313839 4469 4401 3445 77155 5024 4460 4488 3432 82037 77438 77630 83199 78848 79913
g5-g58-normed 2 3 7 7 0 2 0 0 645 715 454 730756 725459 472 733362 719254 1 0 0
g5-g59-normed 1 1 9 6 0 1 0 0 209 165 185 711546 781721 205 698870 686709 1 0 0
g5-g60-normed 3 5 60 97 0 4 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 1 0 0
g5-g66-normed 10 10 139 128 0 7 0 0 6 10 10 946 12244 4 958 52529 5 0 0
g5-g73-normed 10 14 70 73 0 8 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 5 0 0
g5-g82-normed 29 13 225 322 283 28 41 22 18 17 42 42 30 11 11 13 12 14 2
g5-g86-normed 1 2 2 12 0 12 0 0 1 1 7 23 22 8 12 7 8 0 0
g5-g93-normed 1500 4059 244288 248489 252489 3449 3338 2418 NaN NaN NaN NaN NaN NaN NaN NaN 1018 979 31
g50-g58-normed 1 1 1 4 0 4 0 0 1 1 5 99 123 5 NaN NaN 4 0 0
g50-g59-normed 1 1 1 5 0 5 0 0 1 1 6 101 137 5 NaN NaN 4 0 0
g50-g60-normed 1 1 1 6 0 5 0 0 1 1 6 104 100 5 NaN NaN 6 0 0
g50-g66-normed 1 1 1 6 0 9 0 0 1 1 8 139 138 6 NaN NaN 8 0 0
g50-g73-normed 1 1 1 9 0 9 0 0 1 1 7 167 106 9 NaN NaN 9 0 0
g50-g82-normed 2 2 1 14 1841 14 150 161 2 1 19 162 159 14 32 45 17 37 53
g50-g86-normed 2 3 3 19 0 18 0 0 2 2 16 120 149 12 24 329381 16 0 0
g50-g93-normed 14835 5278 285290 340656 330888 4649 4562 3561 14963 5083 4557 4467 3537 85900 79386 78725 86128 80029 79440
g6-g58-normed 1 2 5 7 0 3 0 0 28301 28334 NaN NaN NaN NaN NaN NaN 1 0 0
g6-g59-normed 2 3 5 7 0 3 0 0 108532 109328 1990712 NaN NaN 1990014 NaN NaN 2 0 0
g6-g60-normed 3 6 47 70 0 6 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 2 0 0
g6-g66-normed 5 9 163 175 0 11 0 0 8 14 11 NaN NaN 5 NaN NaN 5 0 0
g6-g73-normed 12 12 35 31 0 11 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 6 0 0
g6-g82-normed 17 34 281 299 314 46 26 28 26 48 45 187328 189806 19 193658 192444 21 14 2
g6-g86-normed 1 2 2 13 0 13 0 0 1 1 8 23 21 13 15 1059 8 0 0
g6-g93-normed 1511 4105 242251 257234 256007 3470 3368 2429 NaN NaN NaN NaN NaN NaN NaN NaN 1083 1005 39
g7-g58-normed 1 1 1 3 0 1 0 0 1 0 1 NaN NaN 0 NaN NaN 1 0 0
g7-g59-normed 0 0 0 8 0 1 0 0 0 0 1 NaN NaN 1 NaN NaN 1 0 0
g7-g60-normed 8432 8300 8865 3450898 0 3437616 0 0 8783 8954 1969919 NaN NaN 1917846 NaN NaN 3438930 0 0
g7-g66-normed 2 2 2 129 0 7 0 0 3 2 11 NaN NaN 6 NaN NaN 4 0 0
g7-g73-normed 9924 9822 10537 NaN 0 NaN 0 0 10149 10006 NaN NaN NaN NaN NaN NaN NaN 0 0
g7-g82-normed 11 15 10 285 337 31 25 29 15 9 29 NaN NaN 21 NaN NaN 23 15 1
g7-g86-normed 1 1 2 13 0 13 0 0 2 1 8 68370 64662 8 67896 77655 13 0 0
g7-g93-normed 1510 4095 252867 246915 236663 3486 3361 2406 NaN NaN NaN NaN NaN NaN NaN NaN 1011 946 46
g8-g58-normed 18 19 40 35 0 6 0 0 18 32 NaN NaN NaN NaN NaN NaN 27 0 0
g8-g59-normed 11 7 21 41 0 19 0 0 11 7 NaN NaN NaN NaN NaN NaN 29 0 0
g8-g60-normed 4 11 55 33 0 7 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 2 0 0
g8-g66-normed 8 12 146 128 0 8 0 0 8 17 13 7 5 4 NaN NaN 6 0 0
g8-g73-normed 13 13 46 41 0 12 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 6 0 0
g8-g82-normed 27 56 323 297 307 54 42 33 27 39 49 47 20 21 34 158 15 38 145
g8-g86-normed 2 1 1 8 0 13 0 0 2 1 12 24 14 8 16 68539 13 0 0
g8-g93-normed NaN 5112 NaN NaN NaN 4482 4390 3431 NaN 4998 4466 4385 3449 NaN NaN NaN NaN NaN NaN
g9-g58-normed 4 550 17 19 0 4 0 0 2 599 NaN NaN NaN NaN NaN NaN 23 0 0
g9-g59-normed 5 8 12 11 0 3 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 3 0 0
g9-g60-normed 4 12 81 48 0 8 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 2 0 0
g9-g66-normed 2 3 3 127 0 13 0 0 3 2 13 7 8 4 NaN NaN 6 0 0
g9-g73-normed 17 16 74 45 0 11 0 0 NaN NaN NaN NaN NaN NaN NaN NaN 9 0 0
g9-g82-normed 10 17 17 306 298 33 30 20 14 9 51 46 34 21 11 21 14 12 13
g9-g86-normed 2 2 1 13 0 12 0 0 1 1 12 23 22 12 NaN NaN 8 0 0
g9-g93-normed 30817 5085 282586 273622 272208 4522 4441 3448 29688 5056 4432 4372 3424 30515 25242 22157 31230 26262 23443
phase-30-150-0.34-0.36-0.42-1 3854 3799 3801 3727 18 3655 27 24 1334290 1316178 1250122 NaN NaN 1259509 NaN NaN 3626 3 0
